date,number,type
2020-01-21,2,positive
2020-01-22,547,positive
2020-01-23,1145,positive
2020-01-24,17689,positive
2020-01-25,15825,positive
2020-01-26,9776,positive
2020-01-27,13665,positive
2020-01-28,18528,positive
2020-01-29,51716,positive
2020-01-30,116967,positive
2020-01-31,144883,positive
2020-02-01,38652,positive
2020-02-02,11992,positive
2020-02-03,26064,positive
2020-02-04,36465,positive
2020-02-05,23607,positive
2020-02-06,15073,positive
2020-02-07,74153,positive
2020-02-08,9762,positive
2020-02-09,11432,positive
2020-02-10,50265,positive
2020-02-11,30327,positive
2020-02-12,9760,positive
2020-02-13,27419,positive
2020-02-14,20184,positive
2020-02-15,12985,positive
2020-02-16,17763,positive
2020-02-17,16352,positive
2020-02-18,18138,positive
2020-02-19,15342,positive
2020-02-20,23422,positive
2020-02-21,28872,positive
2020-02-22,24235,positive
2020-02-24,26895,positive
2020-02-25,72708,positive
2020-02-26,89665,positive
2020-02-27,172854,positive
2020-02-28,564509,positive
2020-02-29,869232,positive
2020-03-01,308845,positive
2020-03-02,54123,positive
2020-03-03,580968,positive
2020-03-04,341876,positive
2020-03-05,63117,positive
2020-03-06,104757,positive
2020-03-07,65268,positive
2020-03-08,101662,positive
2020-03-09,72447,positive
2020-03-10,67365,positive
2020-03-11,63733,positive
2020-03-12,92475,positive
2020-03-13,80453,positive
2020-03-14,67904,positive
2020-03-15,40407,positive
2020-03-16,16548,positive
2020-03-17,51695,positive
2020-03-18,24164,positive
2020-03-19,29700,positive
2020-03-20,46214,positive
2020-03-21,102637,positive
2020-03-22,46579,positive
2020-03-23,45115,positive
2020-03-24,45863,positive
2020-03-25,42822,positive
2020-03-26,83790,positive
2020-03-27,49428,positive
2020-03-28,74219,positive
2020-03-29,42426,positive
2020-03-30,70042,positive
2020-03-31,53037,positive
2020-01-21,5,neutral
2020-01-22,341,neutral
2020-01-23,755,neutral
2020-01-24,4976,neutral
2020-01-25,5835,neutral
2020-01-26,4246,neutral
2020-01-27,9787,neutral
2020-01-28,13180,neutral
2020-01-29,26032,neutral
2020-01-30,45621,neutral
2020-01-31,27160,neutral
2020-02-01,5072,neutral
2020-02-02,4081,neutral
2020-02-03,4159,neutral
2020-02-04,14737,neutral
2020-02-05,7122,neutral
2020-02-06,6256,neutral
2020-02-07,9131,neutral
2020-02-08,8666,neutral
2020-02-09,4209,neutral
2020-02-10,16904,neutral
2020-02-11,12962,neutral
2020-02-12,4101,neutral
2020-02-13,5735,neutral
2020-02-14,4400,neutral
2020-02-15,4040,neutral
2020-02-16,5534,neutral
2020-02-17,9784,neutral
2020-02-18,9541,neutral
2020-02-19,7243,neutral
2020-02-20,6817,neutral
2020-02-21,33593,neutral
2020-02-22,11007,neutral
2020-02-24,19504,neutral
2020-02-25,27211,neutral
2020-02-26,92586,neutral
2020-02-27,69590,neutral
2020-02-28,154513,neutral
2020-02-29,306978,neutral
2020-03-01,151530,neutral
2020-03-02,38040,neutral
2020-03-03,161965,neutral
2020-03-04,129736,neutral
2020-03-05,31654,neutral
2020-03-06,58210,neutral
2020-03-07,23148,neutral
2020-03-08,71589,neutral
2020-03-09,30441,neutral
2020-03-10,43458,neutral
2020-03-11,20321,neutral
2020-03-12,34886,neutral
2020-03-13,38651,neutral
2020-03-14,24531,neutral
2020-03-15,22551,neutral
2020-03-16,67873,neutral
2020-03-17,55839,neutral
2020-03-18,18416,neutral
2020-03-19,21015,neutral
2020-03-20,32274,neutral
2020-03-21,31993,neutral
2020-03-22,16872,neutral
2020-03-23,15900,neutral
2020-03-24,19879,neutral
2020-03-25,29627,neutral
2020-03-26,22336,neutral
2020-03-27,29817,neutral
2020-03-28,21481,neutral
2020-03-29,25186,neutral
2020-03-30,17094,neutral
2020-03-31,23628,neutral
2020-01-21,0,negative
2020-01-22,1820,negative
2020-01-23,4706,negative
2020-01-24,16449,negative
2020-01-25,30957,negative
2020-01-26,136913,negative
2020-01-27,59948,negative
2020-01-28,30461,negative
2020-01-29,51677,negative
2020-01-30,73053,negative
2020-01-31,94399,negative
2020-02-01,24909,negative
2020-02-02,12335,negative
2020-02-03,19400,negative
2020-02-04,20315,negative
2020-02-05,38871,negative
2020-02-06,45512,negative
2020-02-07,18124,negative
2020-02-08,22441,negative
2020-02-09,20846,negative
2020-02-10,97913,negative
2020-02-11,57470,negative
2020-02-12,15836,negative
2020-02-13,13701,negative
2020-02-14,14995,negative
2020-02-15,13109,negative
2020-02-16,22533,negative
2020-02-17,18224,negative
2020-02-18,22789,negative
2020-02-19,13311,negative
2020-02-20,33869,negative
2020-02-21,124348,negative
2020-02-22,60300,negative
2020-02-24,228380,negative
2020-02-25,263065,negative
2020-02-26,189810,negative
2020-02-27,441607,negative
2020-02-28,734534,negative
2020-02-29,1915617,negative
2020-03-01,760871,negative
2020-03-02,75996,negative
2020-03-03,617522,negative
2020-03-04,403703,negative
2020-03-05,131444,negative
2020-03-06,158633,negative
2020-03-07,147030,negative
2020-03-08,174174,negative
2020-03-09,200959,negative
2020-03-10,187296,negative
2020-03-11,67729,negative
2020-03-12,82770,negative
2020-03-13,132542,negative
2020-03-14,63618,negative
2020-03-15,45984,negative
2020-03-16,58894,negative
2020-03-17,120670,negative
2020-03-18,116614,negative
2020-03-19,62444,negative
2020-03-20,58444,negative
2020-03-21,86563,negative
2020-03-22,161721,negative
2020-03-23,66290,negative
2020-03-24,52102,negative
2020-03-25,80634,negative
2020-03-26,63117,negative
2020-03-27,109314,negative
2020-03-28,55504,negative
2020-03-29,69501,negative
2020-03-30,288971,negative
2020-03-31,89158,negative
